date,ind,rain,ind,maxt,ind,mint,gmin,soil
01-Jan-41,0,2.4, , , , , , 
02-Jan-41,0,0.9, , , , , , 
03-Jan-41,0,0, , , , , , 
04-Jan-41,0,0, , , , , , 
05-Jan-41,0,0, , , , , , 
06-Jan-41,0,0, , , , , , 
07-Jan-41,0,0, , , , , , 
08-Jan-41,0,0, , , , , , 
09-Jan-41,0,0, , , , , , 
10-Jan-41,0,0, , , , , , 
11-Jan-41,0,0, , , , , , 
12-Jan-41,0,0, , , , , , 
13-Jan-41,0,0, , , , , , 
14-Jan-41,0,5.2, , , , , , 
15-Jan-41,0,11, , , , , , 
16-Jan-41,0,0, , , , , , 
17-Jan-41,0,5.5, , , , , , 
18-Jan-41,0,11.1, , , , , , 
19-Jan-41,0,10.8, , , , , , 
20-Jan-41,0,15.5, , , , , , 
21-Jan-41,0,11, , , , , , 
22-Jan-41,0,0, , , , , , 
23-Jan-41,0,1.8, , , , , , 
24-Jan-41,0,8.5, , , , , , 
25-Jan-41,0,5.1, , , , , , 
26-Jan-41,0,1.8, , , , , , 
27-Jan-41,0,9.2, , , , , , 
28-Jan-41,0,5.8, , , , , , 
29-Jan-41,0,3, , , , , , 
30-Jan-41,0,8.5, , , , , , 
31-Jan-41,0,0, , , , , , 
01-Feb-41,0,0, , , , , , 
02-Feb-41,0,0.3, , , , , , 
03-Feb-41,0,0, , , , , , 
04-Feb-41,0,1.6, , , , , , 
05-Feb-41,0,7.3, , , , , , 
06-Feb-41,0,4.9, , , , , , 
07-Feb-41,0,2.4, , , , , , 
08-Feb-41,0,1.8, , , , , , 
09-Feb-41,0,0.5, , , , , , 
10-Feb-41,0,0, , , , , , 
11-Feb-41,0,1, , , , , , 
12-Feb-41,0,3.5, , , , , , 
13-Feb-41,0,5.8, , , , , , 
14-Feb-41,0,2.2, , , , , , 
15-Feb-41,0,0, , , , , , 
16-Feb-41,0,18.4, , , , , , 
17-Feb-41,0,6.9, , , , , , 
18-Feb-41,0,0.1, , , , , , 
19-Feb-41,0,0, , , , , , 
20-Feb-41,0,0, , , , , , 
21-Feb-41,0,0, , , , , , 
22-Feb-41,0,4.2, , , , , , 
23-Feb-41,0,0, , , , , , 
24-Feb-41,0,1, , , , , , 
25-Feb-41,0,0, , , , , , 
26-Feb-41,0,1.9, , , , , , 
27-Feb-41,0,2, , , , , , 
28-Feb-41,0,3.4, , , , , , 
01-Mar-41,0,9.8, , , , , , 
02-Mar-41,0,0.8, , , , , , 
03-Mar-41,0,3.3, , , , , , 
04-Mar-41,0,0.3, , , , , , 
05-Mar-41,0,1.4, , , , , , 
06-Mar-41,0,0.9, , , , , , 
07-Mar-41,0,1.3, , , , , , 
08-Mar-41,0,18.2, , , , , , 
09-Mar-41,0,2, , , , , , 
10-Mar-41,0,1.1, , , , , , 
11-Mar-41,0,0, , , , , , 
12-Mar-41,0,0, , , , , , 
13-Mar-41,0,0, , , , , , 
14-Mar-41,0,1.1, , , , , , 
15-Mar-41,0,0, , , , , , 
16-Mar-41,0,0, , , , , , 
17-Mar-41,0,1.8, , , , , , 
18-Mar-41,0,2.4, , , , , , 
19-Mar-41,0,0, , , , , , 
20-Mar-41,0,0, , , , , , 
21-Mar-41,0,2.8, , , , , , 
22-Mar-41,0,2.8, , , , , , 
23-Mar-41,0,1, , , , , , 
24-Mar-41,0,0.3, , , , , , 
25-Mar-41,0,7, , , , , , 
26-Mar-41,0,3.1, , , , , , 
27-Mar-41,0,5.4, , , , , , 
28-Mar-41,0,0.3, , , , , , 
29-Mar-41,0,0, , , , , , 
30-Mar-41,0,0.5, , , , , , 
31-Mar-41,0,39.7, , , , , , 
01-Apr-41,0,17.1, , , , , , 
02-Apr-41,0,11.5, , , , , , 
03-Apr-41,0,0.4, , , , , , 
04-Apr-41,0,0.9, , , , , , 
05-Apr-41,0,0, , , , , , 
06-Apr-41,0,0.1, , , , , , 
07-Apr-41,0,0, , , , , , 
08-Apr-41,0,5, , , , , , 
09-Apr-41,0,3.9, , , , , , 
10-Apr-41,0,0, , , , , , 
11-Apr-41,0,0, , , , , , 
12-Apr-41,0,0, , , , , , 
13-Apr-41,0,3.6, , , , , , 
14-Apr-41,0,4.6, , , , , , 
15-Apr-41,0,0, , , , , , 
16-Apr-41,0,3.1, , , , , , 
17-Apr-41,0,15.6, , , , , , 
18-Apr-41,0,9.5, , , , , , 
19-Apr-41,0,2.5, , , , , , 
20-Apr-41,0,0.1, , , , , , 
21-Apr-41,0,0, , , , , , 
22-Apr-41,0,0, , , , , , 
23-Apr-41,0,0, , , , , , 
24-Apr-41,0,0, , , , , , 
25-Apr-41,0,0.1, , , , , , 
26-Apr-41,0,0, , , , , , 
27-Apr-41,0,0.1, , , , , , 
28-Apr-41,0,0, , , , , , 
29-Apr-41,0,0, , , , , , 
30-Apr-41,0,0, , , , , , 
01-May-41,0,0, , , , , , 
02-May-41,0,0, , , , , , 
03-May-41,0,0, , , , , , 
04-May-41,0,0, , , , , , 
05-May-41,0,0, , , , , , 
06-May-41,0,0, , , , , , 
07-May-41,0,0, , , , , , 
08-May-41,0,0, , , , , , 
09-May-41,0,0, , , , , , 
10-May-41,0,0, , , , , , 
11-May-41,0,0.3, , , , , , 
12-May-41,0,0, , , , , , 
13-May-41,0,0, , , , , , 
14-May-41,0,0, , , , , , 
15-May-41,0,0, , , , , , 
16-May-41,0,0, , , , , , 
17-May-41,0,0, , , , , , 
18-May-41,0,5.4, , , , , , 
19-May-41,0,0, , , , , , 
20-May-41,0,0.4, , , , , , 
21-May-41,0,6.1, , , , , , 
22-May-41,0,23.9, , , , , , 
23-May-41,0,4.2, , , , , , 
24-May-41,0,5.1, , , , , , 
25-May-41,0,2.8, , , , , , 
26-May-41,0,5.4, , , , , , 
27-May-41,0,1.4, , , , , , 
28-May-41,0,0.5, , , , , , 
29-May-41,0,1.3, , , , , , 
30-May-41,0,0, , , , , , 
31-May-41,0,0, , , , , , 
